,DS_85_port1_Return Loss_Result,DS_85_port1_Insertion Loss_Result,DS_85_port1_Insertion Tilt_Result,DS_85_port1_Isolation_Result,DS_85_port1_Max Delta 1_Result,DS_85_port1_Max Delta 2_Result,DS_85_port2_Return Loss_Result,DS_85_port2_Insertion Loss_Result,DS_85_port2_Insertion Tilt_Result,DS_85_port2_Isolation_Result,DS_85_port2_Max Delta 1_Result,DS_85_port4_Max Delta 2_Result,DS_85_port4_PORT-4_Result,DS_85_port4_Return Loss_Result,DS_85_port4_Insertion Loss_Result,DS_85_port4_Insertion Tilt_Result,DS_204_port1_Return Loss_Result,DS_204_port1_Insertion Loss_Result,DS_204_port1_Insertion Tilt_Result,DS_204_port1_Isolation_Result,DS_204_port1_Max Delta 1_Result,DS_204_port1_Max Delta 2_Result,DS_204_port2_Return Loss_Result,DS_204_port2_Insertion Loss_Result,DS_204_port2_Insertion Tilt_Result,DS_204_port2_Isolation_Result,DS_204_port2_Max Delta 1_Result,DS_204_port4_Max Delta 2_Result,DS_204_port4_PORT-4_Result,DS_204_port4_Return Loss_Result,DS_204_port4_Insertion Loss_Result,DS_204_port4_Insertion Tilt_Result,US_85_port1_Return Loss_Result,US_85_port1_Insertion Loss_Result,US_85_port1_PORT-2_Result,US_85_port2_Insertion Loss_Result,US_85_port2_PORT-3_Result,US_85_port3_Insertion Loss_Result,US_85_port3_PORT-4_Result,US_85_port4_Insertion Loss_Result,US_85_port4_----------------------------------------_Result,US_204_port1_Return Loss_Result,US_204_port1_Insertion Loss_Result,US_204_port1_PORT-2_Result,US_204_port2_Insertion Loss_Result,US_204_port2_PORT-3_Result,US_204_port3_Insertion Loss_Result,US_204_port3_PORT-4_Result,US_204_port4_Insertion Loss_Result,US_204_port4_----------------------------------------_Result,kpi
105201610291,-15.59,-15.59,-15.59,-15.59,-15.59,-15.59,-15.57,-15.57,-15.57,-15.57,-15.57,1.13,1.13,1.13,1.13,1.13,-16.22,-16.22,-16.22,-16.22,-16.22,-16.22,-16.21,-16.21,-16.21,-16.21,-16.21,1.0,1.0,1.0,1.0,1.0,-17.48,-17.48,-17.48,10.72,10.72,10.72,10.72,10.71,10.71,-15.82,-15.82,-15.82,11.01,11.01,11.2,11.2,11.2,11.2,FAILED
105210112133,-15.01,-15.01,-15.01,-15.01,-15.01,-15.01,-16.33,-16.33,-16.33,-16.33,-16.33,1.08,1.08,1.08,1.08,1.08,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.07,-15.07,-15.07,-15.07,-15.07,1.66,1.66,1.66,1.66,1.66,-17.35,-17.35,-17.35,10.89,10.89,10.93,10.93,10.68,10.68,-15.3,-15.3,-15.3,10.99,10.99,10.9,10.9,10.95,10.95,PASSED
105204210938,-16.52,-16.52,-16.52,-16.52,-16.52,-16.52,-16.57,-16.57,-16.57,-16.57,-16.57,0.84,0.84,0.84,0.84,0.84,-15.16,-15.16,-15.16,-15.16,-15.16,-15.16,-15.11,-15.11,-15.11,-15.11,-15.11,0.87,0.87,0.87,0.87,0.87,-17.05,-17.05,-17.05,10.99,10.99,10.98,10.98,11.0,11.0,-15.95,-15.95,-15.95,10.8,10.8,10.79,10.79,10.8,10.8,PASSED
105210112079,-17.04,-17.04,-17.04,-17.04,-17.04,-17.04,-15.12,-15.12,-15.12,-15.12,-15.12,0.94,0.94,0.94,0.94,0.94,-15.27,-15.27,-15.27,-15.27,-15.27,-15.27,-17.84,-17.84,-17.84,-17.84,-17.84,0.93,0.93,0.93,0.93,0.93,-17.25,-17.25,-17.25,10.71,10.71,10.84,10.84,10.34,10.34,-15.17,-15.17,-15.17,10.72,10.72,10.88,10.88,10.46,10.46,PASSED
105205210289,-17.46,-17.46,-17.46,-17.46,-17.46,-17.46,-17.49,-17.49,-17.49,-17.49,-17.49,1.12,1.12,1.12,1.12,1.12,-15.56,-15.56,-15.56,-15.56,-15.56,-15.56,-15.93,-15.93,-15.93,-15.93,-15.93,1.0,1.0,1.0,1.0,1.0,-16.88,-16.88,-16.88,10.87,10.87,10.7,10.7,10.64,10.64,-15.71,-15.71,-15.71,10.9,10.9,11.02,11.02,10.77,10.77,PASSED
105204410971,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.97,-15.97,-15.97,-15.97,-15.97,0.45,0.45,0.45,0.45,0.45,-15.4,-15.4,-15.4,-15.4,-15.4,-15.4,-15.39,-15.39,-15.39,-15.39,-15.39,0.86,0.86,0.86,0.86,0.86,-15.36,-15.36,-15.36,10.84,10.84,10.83,10.83,10.83,10.83,-15.47,-15.47,-15.47,11.19,11.19,11.2,11.2,11.2,11.2,PASSED
105194610711,-17.27,-17.27,-17.27,-17.27,-17.27,-17.27,-17.31,-17.31,-17.31,-17.31,-17.31,0.62,0.62,0.62,0.62,0.62,-17.09,-17.09,-17.09,-17.09,-17.09,-17.09,-17.05,-17.05,-17.05,-17.05,-17.05,0.84,0.84,0.84,0.84,0.84,-16.21,-16.21,-16.21,10.63,10.63,10.58,10.58,10.57,10.57,-15.24,-15.24,-15.24,10.8,10.8,10.66,10.66,10.66,10.66,PASSED
105204610576,-15.8,-15.8,-15.8,-15.8,-15.8,-15.8,-15.35,-15.35,-15.35,-15.35,-15.35,1.08,1.08,1.08,1.08,1.08,-15.7,-15.7,-15.7,-15.7,-15.7,-15.7,-15.45,-15.45,-15.45,-15.45,-15.45,1.0,1.0,1.0,1.0,1.0,-15.45,-15.45,-15.45,10.8,10.8,11.02,11.02,11.01,11.01,-16.57,-16.57,-16.57,11.22,11.22,11.22,11.22,11.22,11.22,PASSED
105203410244,-15.69,-15.69,-15.69,-15.69,-15.69,-15.69,-15.67,-15.67,-15.67,-15.67,-15.67,1.05,1.05,1.05,1.05,1.05,-15.36,-15.36,-15.36,-15.36,-15.36,-15.36,-15.94,-15.94,-15.94,-15.94,-15.94,0.74,0.74,0.74,0.74,0.74,-16.81,-16.81,-16.81,10.77,10.77,10.87,10.87,10.43,10.43,-15.08,-15.08,-15.08,11.17,11.17,11.16,11.16,11.16,11.16,PASSED
105204410886,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.83,-15.83,-15.83,-15.83,-15.83,1.04,1.04,1.04,1.04,1.04,-15.33,-15.33,-15.33,-15.33,-15.33,-15.33,-15.93,-15.93,-15.93,-15.93,-15.93,0.86,0.86,0.86,0.86,0.86,-16.8,-16.8,-16.8,10.34,10.34,10.38,10.38,10.19,10.19,-16.03,-16.03,-16.03,10.56,10.56,10.67,10.67,10.54,10.54,FAILED
