Timestamp,tusCoatingLine.MES.UtilizationState,predictions
2022-11-17 22:13:00,Running,Running
2022-11-17 23:41:00,Running,Running
2022-11-17 21:19:00,Running,Running
2022-11-17 20:49:00,Running,Running
2022-11-17 23:29:00,Running,Running
2022-11-17 20:26:00,Running,Running
2022-11-17 14:20:00,Running,Running
2022-11-17 11:19:00,Running,Running
2022-11-17 10:02:00,Running Slow,Running Slow
2022-11-17 7:41:00,Running,Running
2022-11-17 16:46:00,Running,Running Slow
2022-11-17 4:54:00,Downtime,Downtime
2022-11-17 20:09:00,Running,Running
2022-11-17 16:28:00,Running,Running
2022-11-17 8:31:00,Downtime,Downtime
2022-11-17 8:07:00,Running,Running
2022-11-17 18:44:00,Running Slow,Running Slow
2022-11-17 16:32:00,Running,Running
2022-11-17 15:00:00,Running,Running
2022-11-17 12:01:00,Running,Running
2022-11-17 1:30:00,Running,Running
2022-11-17 19:46:00,Running,Running
2022-11-17 13:21:00,Running,Running
2022-11-17 11:01:00,Running,Running
2022-11-17 3:13:00,Running Slow,Running Slow
2022-11-17 19:27:00,Running,Running
2022-11-17 17:23:00,Running Slow,Running Slow
2022-11-17 9:15:00,Running,Running
2022-11-17 14:30:00,Running,Running
2022-11-17 12:45:00,Running,Running
2022-11-17 10:32:00,Downtime,Running Slow
2022-11-17 5:19:00,Downtime,Downtime
2022-11-17 1:54:00,Running,Running
2022-11-17 23:32:00,Running,Running
2022-11-17 18:23:00,Downtime,Downtime
2022-11-17 4:57:00,Downtime,Downtime
2022-11-17 20:05:00,Running,Running
2022-11-17 20:23:00,Running,Running
2022-11-17 0:05:00,Running,Running
2022-11-17 23:24:00,Running,Running
2022-11-17 0:26:00,Running,Running
2022-11-17 23:14:00,Running,Running
2022-11-17 22:33:00,Running,Running
2022-11-17 12:28:00,Running,Running
2022-11-17 5:40:00,Running Slow,Running Slow
2022-11-17 3:28:00,Running Slow,Running Slow
2022-11-17 12:25:00,Running,Running
2022-11-17 22:54:00,Running,Running
2022-11-17 15:23:00,Running,Running
2022-11-17 22:45:00,Running,Running
2022-11-17 3:34:00,Running Slow,Running Slow
2022-11-17 10:56:00,Running,Running
2022-11-17 3:17:00,Running Slow,Running Slow
2022-11-17 17:35:00,Downtime,Downtime
2022-11-17 10:16:00,Downtime,Downtime
2022-11-17 4:55:00,Downtime,Downtime
2022-11-17 2:34:00,Running Slow,Running Slow
2022-11-17 16:16:00,Running,Running
2022-11-17 12:57:00,Running,Running
2022-11-17 19:52:00,Running,Running
2022-11-17 1:06:00,Running Slow,Running Slow
2022-11-17 16:44:00,Running,Running
2022-11-17 16:23:00,Running,Running
