,feature,importance
303,BE_Machine_Speed_FB,0.23872603
398,ST325M030\SpeedFB,0.22449772
204,340_VFD_010\Current,0.14449823
400,ST330M010\SpeedFB,0.098407716
381,SQ_Per_Hour_Shift2,0.035345435
508,VFD165_OL_Trim,0.012405723
414,ST340M022\AI3,0.009705052
215,355_ZI_040,0.007495292
250,815_PT_110A,0.0070206886
511,VFD165_SW_Current,0.006987488
448,Spray_Bar_2_Flow,0.006835958
159,230_PT_070\PV,0.0063873446
20,120_LT_229\PV,0.0059339814
161,230_TE_012\PV,0.0056104385
22,120_LT_231\PV,0.0050128005
519,VFD170_OL_Trim,0.0050022136
491,VFD155_SW_Current,0.004532411
814,aux_hopper_Recipe_Output,0.004245124
154,230_LT_050\PV,0.004238097
255,815_VFD_70\SP,0.0039345683
418,ST340M032\AI3,0.003933097
315,BlendRoll1\SW04,0.0039260057
674,VFD250_SW_Current,0.0037337306
23,120_LT_232\PV,0.003707731
409,ST330M030\TorqueFB,0.0036787128
253,815_TE_200\PV,0.0035752503
349,Lane_A_Shingle_Present_Avg,0.0035151315
428,ST355M001\TorqueFB,0.003495482
327,Cooling_Entry_Temp_MOS,0.0034109773
357,Line1_dust_col_filler_mill_green,0.003367121
1,100_HI_010\PV,0.0032797395
0,100_HE_010\PV,0.003223322
7,120_LT_022\PV,0.003037666
417,ST340M022\TorqueFB,0.0027910825
207,355_LIC_002SP,0.002722325
763,VFD300_SW_Current,0.0025753293
292,AirFlowSection1,0.0025042403
272,825_TE_120\PV,0.002483499
282,A2_B2_SQ_AVERAGE,0.0024091634
305,BE_Splice_Position,0.002319369
236,515_VFD_075\PctFLA,0.0022912875
26,120_LT_235\PV,0.0022813901
648,VFD240_OL_Feedback,0.0022450765
385,ST315M029\TorqueFB,0.0021182888
365,Mahlo_OSWeight,0.0021164464
379,Raytek_Average,0.0021103746
407,ST330M025\TorqueFB,0.0020853914
170,230_VFD_010\Current,0.002072494
360,MCT_DRV_Side,0.0020496154
815,tusCoatingLine.LineSpeedAct,0.0020295428
32,120_MTR_008\MtrCurrnt,0.0019856913
352,Lane_B_Shingle_Present_Avg,0.0018902497
28,120_LT_237\PV,0.0018726138
479,VFD150_SW_DriveTemp,0.0018724445
6,120_LT_021\PV,0.001852224
443,Spray_Bar_12_Flow,0.0018488709
13,120_LT_222\PV,0.0018345483
715,VFD270_SW_Torque,0.0018166194
422,ST340M042\AI3,0.0018131332
157,230_PT_030\PV,0.0017702361
383,ST315M029\AI4,0.0017500431
361,Mahlo_AveragescanWeight,0.0017032513
146,220_VFD_131\Current,0.0016914248
358,MAHLO_DIFFERENCE_ABS,0.0016508456
329,DS_AVG_TEST,0.0016405935
773,VFD305_SW_Current,0.0016127225
403,ST330M019\TorqueFB,0.0016077313
293,AirFlowSection2,0.0015958616
384,ST315M029\SpeedFB,0.0015125913
134,220_TC_150A\PV,0.0014776131
739,VFD285_SW_Current,0.0013740113
372,N_HEATER1_TEMP,0.001362816
3,120_DPT_007\PV,0.0013610446
162,230_TE_013\PV,0.0013367028
436,Servo_Torque_Ref_LANED,0.0012916271
570,VFD195_OL_Feedback,0.0012863931
226,370_TE_054\PV,0.0012632894
21,120_LT_230\PV,0.0012064717
281,A2_B2_AVERAGE,0.0011947715
389,ST315M031\TorqueFB,0.0011555045
9,120_LT_032\PV,0.0011382727
155,230_LT_051\PV,0.0010669172
14,120_LT_223\PV,0.0010626301
18,120_LT_227\PV,0.0010427699
227,370_TT_052,0.0010425954
514,VFD165_SW_Torque,0.0009823337
450,Spray_Bar_6_Flow,0.0009509357
412,ST340M013\SpeedFB,0.00093876617
5,120_DPT_120\PV,0.0008893789
232,515_VFD_030\PctFLA,0.0008686552
692,VFD260_OL_Trim,0.00085021363
77,205_E3_300\AVGCurrent,0.0008242744
324,BlendRoll4\SW04,0.0007698112
186,325_VFD_20\Freq,0.0007306236
213,355_TE_030\PV,0.00073029817
404,ST330M020\SpeedFB,0.0007262851
356,Line1_dust_col_filler_mill_blue,0.0007051414
80,205_E3_411\AVGPercentFLA,0.00070273294
29,120_LT_238\PV,0.00066833803
413,ST340M013\TorqueFB,0.00065316237
382,ST315M029\AI3,0.0006399255
298,B2_Delivery_Belt_observed_Speed,0.0006171867
374,N_HEATER3_TEMP,0.0006054815
166,230_TE_051\PV,0.00059600396
167,230_TE_052\PV,0.00059230556
288,A_DK_Stripe_loadcell,0.0005746875
390,ST315M040\AI3,0.0005416402
618,VFD220_SW_Current,0.0005323618
587,VFD200_SW_Torque,0.0005171777
228,370_TT_053,0.0005010078
190,325_ZIT_043\PV,0.00048689885
129,220_PT_130\PV,0.00043563245
211,355_TE_010\PV,0.00038439714
386,ST315M031\AI3,0.0003698243
287,A_DK_DROP_loadcell,0.0003673099
11,120_LT_034\PV,0.00032152943
517,VFD170_OL_Feedback,0.00030729713
179,230_VFD_070\Freq,0.00030656578
309,B_DK_Stripe_loadcell,0.0002973122
408,ST330M030\SpeedFB,0.00026621504
653,VFD240_SW_Current,0.0002390658
399,ST325M030\TorqueFB,0.00022226754
87,205_LT_121\PV,0.00021681629
426,ST355M001\AI3,0.00019784014
601,VFD210_SW_Current,0.00019717931
245,715_DPT_010\PV,0.00019657749
290,A_LT_Stripe_loadcell,0.00017619786
328,Cooling_Entry_Temp_OS,0.0001709826
320,BlendRoll3\SW03,0.00016820068
631,VFD230_OL_Feedback,0.00015830832
251,815_PT_70,0.00015653846
337,IH_Sensor_10,0.000141897
171,230_VFD_010\Freq,0.0001403106
425,ST340M042\TorqueFB,0.00013338529
224,370_TE_052\PV,0.00012951216
402,ST330M019\SpeedFB,0.00012368137
818,tusCoatingLineUCO.CurrentOEEPercent,0.0001165251
277,855_TI_330,0.00011129335
150,230_DT_030\PV,0.000110385685
429,ST355M002\SpeedFB,9.428414e-05
671,VFD250_OL_Trim,8.022261e-05
597,VFD210_OL_Feedback,7.4641815e-05
565,VFD190_SW_DriveTemp,6.904525e-05
64,125_DPT_011\PV,6.650605e-05
25,120_LT_234\PV,6.464948e-05
314,BlendRoll1\SW03,6.2868414e-05
169,230_TE_080\PV,6.2188585e-05
680,VFD255_OL_Feedback,5.8037607e-05
651,VFD240_OL_TrimSpeed,5.6537592e-05
68,130_TE_005\PV,5.6018653e-05
498,VFD160_OL_Trim,0.0
500,VFD160_SB_Runing,0.0
602,VFD210_SW_DriveTemp,0.0
603,VFD210_SW_Speed,0.0
604,VFD210_SW_Torque,0.0
605,VFD215_CB_Start,0.0
606,VFD215_CW_StatusCode,0.0
499,VFD160_OL_TrimSpeed,0.0
607,VFD215_SB_Runing,0.0
614,VFD220_OL_Feedback,0.0
497,VFD160_OL_Feedback,0.0
608,VFD215_SW_Current,0.0
609,VFD215_SW_DriveTemp,0.0
610,VFD215_SW_Speed,0.0
