,340_VFD_010\Current,355_ZI_040,815_PT_110A,BE_Machine_Speed_FB,SQ_Per_Hour_Shift2,ST325M030\SpeedFB,ST330M010\SpeedFB,ST340M022\AI3,VFD165_OL_Trim,VFD165_SW_Current
0,58.5938,94.0,94.1093,840.393,961.8969999999999,70.0073,698.6080000000001,175.78099999999998,-1.60321,39.1606
1,58.7891,94.0,94.7217,840.332,961.0889999999999,69.9463,698.6080000000001,187.207,-0.8194969999999999,39.4424
2,58.9844,94.0,94.3409,840.332,961.0889999999999,69.8853,698.7919999999999,183.13,-1.3552799999999998,39.3005
3,58.7891,95.0,95.3695,840.21,960.2869999999999,70.0073,698.669,203.882,-1.67588,39.5902
4,58.3984,95.0,94.7806,840.454,960.2869999999999,69.8853,698.425,193.213,-1.63327,39.8286
5,58.3984,95.0,100.241,840.332,961.877,69.8853,698.425,173.73,-0.999584,39.6453
6,58.5938,95.0,97.3285,840.2710000000001,961.877,69.8853,698.4860000000001,178.833,-1.05566,39.4587
7,58.7891,95.0,95.1732,840.2710000000001,961.078,69.9463,699.2189999999999,182.69,-1.29382,39.6422
8,58.5938,95.0,95.8838,840.393,961.078,69.9463,698.7919999999999,183.984,-1.72675,39.5541
9,58.7891,95.0,94.7296,840.332,960.284,69.9463,698.975,183.984,-0.956208,39.5738
10,58.5938,95.0,94.5882,840.332,960.284,70.0073,698.914,197.65599999999998,-0.806669,39.6124
11,58.3984,95.0,95.2556,840.1489999999999,961.8589999999999,69.8242,698.425,194.678,-0.646336,39.4647
12,58.7891,95.0,96.0604,840.0880000000001,961.8589999999999,69.9463,698.425,180.176,-0.946275,39.5264
13,58.5938,95.0,97.0105,840.332,961.067,69.8242,699.28,175.195,-1.2534299999999998,39.5314
14,58.7891,95.0,96.5197,840.21,961.067,70.0073,698.3639999999999,181.86,-1.90905,39.6035
15,58.7891,95.0,95.3852,840.454,960.2810000000001,69.8242,698.975,194.55599999999998,-1.33701,39.3192
16,58.7891,95.0,95.9348,840.2710000000001,960.2810000000001,69.9463,698.4860000000001,187.40200000000002,-1.70707,39.3674
17,58.7891,95.0,96.3077,840.454,961.84,69.8242,699.4630000000001,200.049,-1.3220399999999999,39.2396
18,58.5938,95.0,94.9926,840.2710000000001,961.84,69.8853,699.0360000000001,183.838,-1.3767399999999999,39.4153
19,58.5938,95.0,94.8159,840.2710000000001,961.056,69.9463,699.0360000000001,175.78099999999998,-1.6606900000000002,39.5872
20,58.7891,95.0,95.81700000000001,840.21,961.056,69.9463,698.6080000000001,173.34,-1.4555799999999999,39.4697
21,58.5938,95.0,95.3616,840.332,960.278,70.0073,697.998,191.919,-1.63582,39.5938
22,58.7891,95.0,96.0565,840.2710000000001,960.278,69.8242,697.8760000000001,198.145,-1.75964,39.5311
23,58.5938,95.0,95.5854,840.21,961.822,69.9463,699.097,187.524,-1.40025,39.4331
24,58.7891,95.0,95.5304,840.1489999999999,961.822,70.0073,698.242,187.93900000000002,-1.6765299999999999,39.5016
25,58.5938,95.0,94.6039,840.2710000000001,963.3560000000001,69.9463,698.6080000000001,178.19799999999998,-8.84215,44.0691
26,58.5938,92.0,94.867,840.454,963.3560000000001,69.9463,699.0360000000001,164.893,-0.137968,39.6322
27,58.5938,92.0,94.8081,840.1489999999999,960.275,69.9463,698.73,186.108,-1.82415,39.5873
28,58.3984,92.0,95.1928,840.637,960.275,70.0073,699.4019999999999,193.213,-1.67852,39.5515
29,58.3984,92.0,94.2585,840.332,961.804,69.8853,698.8530000000001,195.898,-1.06095,39.353
30,58.3984,92.0,94.3723,840.332,961.804,70.0073,698.669,185.205,-0.939942,39.4001
31,58.5938,92.0,95.3734,840.1489999999999,963.324,69.8242,698.73,176.36700000000002,-1.2338200000000001,39.5612
32,58.5938,92.0,95.3459,840.1489999999999,963.324,69.8853,698.4860000000001,175.415,-0.992884,39.2692
33,58.7891,92.0,94.2113,840.1489999999999,960.2719999999999,69.8242,698.6080000000001,175.732,-0.986816,39.4755
34,58.3984,92.0,95.1025,840.21,960.2719999999999,69.9463,699.158,184.57,-1.35954,39.3794
35,58.7891,93.0,96.98299999999999,840.393,961.7869999999999,69.9463,698.4860000000001,193.67700000000002,-1.3063,39.3118
36,58.9844,93.0,95.8131,840.2710000000001,961.7869999999999,70.0073,697.8760000000001,199.53599999999997,-1.3498700000000001,39.3262
37,58.7891,92.0,94.3998,840.2710000000001,961.0260000000001,69.8853,699.0360000000001,181.15200000000002,-1.43402,39.4384
38,58.9844,93.0,95.291,840.454,961.0260000000001,69.9463,698.914,184.57,-1.6949400000000001,39.4798
39,58.9844,92.0,95.4048,840.21,960.2689999999999,70.0073,699.0360000000001,174.707,-0.950314,39.4702
40,58.3984,93.0,95.2635,840.332,960.2689999999999,69.8853,699.28,171.875,-1.4470100000000001,39.5565
41,58.7891,93.0,94.0975,840.332,961.77,70.0073,699.89,188.86700000000002,-0.905646,39.6971
42,58.5938,93.0,95.4205,840.21,961.77,69.8242,698.6080000000001,200.342,-1.62572,39.7559
43,58.9844,93.0,96.0683,840.576,958.77,69.8853,698.73,197.388,-1.54538,39.6509
44,58.3984,93.0,95.5932,840.2710000000001,958.77,69.7632,698.425,176.123,-1.26941,39.7841
45,58.5938,93.0,94.4469,840.2710000000001,960.2660000000001,69.8853,698.12,178.613,-1.524,39.6963
46,58.5938,93.0,95.4912,840.21,960.2660000000001,69.7632,698.181,178.247,-1.28362,39.777
47,58.3984,93.0,96.0486,840.332,961.753,69.9463,698.6080000000001,183.423,-1.1136,39.8056
48,58.3984,93.0,95.39299999999999,840.21,961.753,69.9463,698.242,194.43400000000003,-1.43452,39.8516
49,58.5938,93.0,94.81200000000001,840.2710000000001,958.7810000000001,70.0073,698.4860000000001,192.236,-1.20733,40.0051
50,58.5938,93.0,94.2742,840.21,958.7810000000001,69.9463,699.158,190.942,-1.4484700000000001,39.7824
51,58.5938,93.0,94.0818,840.0269999999999,960.263,70.0073,698.914,171.606,-1.5139,39.7456
52,58.3984,93.0,95.1025,840.21,960.263,69.8853,699.829,181.90900000000002,-1.5829,39.6292
53,58.5938,93.0,95.6914,840.332,961.737,69.8853,698.6080000000001,188.574,-0.9833139999999999,39.4937
54,58.5938,93.0,95.5775,840.454,961.737,69.9463,698.3639999999999,196.362,-1.63246,39.5669
55,58.3984,93.0,96.19,839.966,960.9960000000001,69.7632,698.547,193.09099999999998,-1.25205,39.5294
56,58.5938,93.0,95.075,840.332,960.9960000000001,69.9463,698.3639999999999,197.095,-1.39394,39.5952
57,58.5938,94.0,94.7884,840.332,962.4580000000001,69.7632,698.669,179.59,-0.7947890000000001,39.9082
58,58.5938,93.0,95.2478,840.2710000000001,962.4580000000001,69.9463,698.242,161.279,-1.63004,39.5041
59,58.2031,93.0,95.34200000000001,840.393,963.9110000000001,69.9463,698.6080000000001,176.123,-1.5728799999999998,39.6442
60,58.5938,93.0,94.1446,840.454,963.9110000000001,70.0684,697.998,193.335,-1.46371,39.4158
61,58.2031,93.0,93.6696,840.2710000000001,960.987,69.9463,698.7919999999999,200.757,-1.4005299999999998,39.5758
62,58.3984,94.0,94.0779,840.2710000000001,960.987,70.0073,698.4860000000001,199.12099999999998,-2.42915,39.4587
63,58.3984,94.0,94.3802,840.332,962.435,69.8242,698.73,188.50099999999998,-1.80853,39.6394
64,58.5938,94.0,94.8356,840.1489999999999,962.435,69.7632,698.425,177.46599999999998,-1.6979,39.5563
65,58.3984,93.0,96.2096,840.21,963.875,70.0073,698.303,170.435,-1.3994799999999998,39.7882
66,58.3984,94.0,94.4273,840.0269999999999,963.875,69.9463,698.3639999999999,182.61700000000002,-1.2942799999999999,39.3574
67,58.5938,94.0,94.655,840.454,960.9780000000001,70.0073,697.998,194.678,-1.14191,39.3057
68,58.5938,94.0,94.9141,840.332,960.9780000000001,69.7632,698.914,198.145,-1.5650600000000001,39.4188
69,58.3984,94.0,93.9915,840.332,962.413,69.9463,698.3639999999999,182.373,-0.947934,39.4696
70,58.5938,94.0,95.5265,840.332,962.413,69.7632,699.0360000000001,182.886,-1.2771299999999999,39.6588
71,58.3984,92.0,95.6875,840.21,963.84,69.9463,698.425,176.36700000000002,0.0,0.0
72,58.5938,79.0,96.0526,697.0210000000001,963.84,93.75,578.308,191.357,0.0,0.0
73,58.5938,72.0,96.0997,504.82199999999995,963.1139999999999,84.8389,406.25,188.81799999999998,0.0,0.0
74,58.7891,65.0,95.7149,505.31,963.1139999999999,84.9609,406.616,194.092,0.0,0.0
75,58.5938,58.0,96.0133,505.249,962.3910000000001,85.022,406.494,186.62099999999998,0.0,0.0
76,58.5938,51.0,95.97399999999999,504.944,962.3910000000001,84.9609,406.311,180.64,-4.62199,44.4223
77,58.5938,44.0,95.3616,505.18800000000005,961.673,84.9609,406.43300000000005,175.024,-30.0486,44.3863
78,58.7891,38.0,95.3027,505.249,961.673,84.9609,406.616,176.00099999999998,-28.3582,44.393
79,58.3984,35.0,95.6089,505.12699999999995,958.834,84.9609,406.494,179.541,-4.31688,43.6126
80,58.5938,34.0,95.9662,505.005,958.834,84.7778,406.555,186.62099999999998,-2.44948,43.8531
81,58.5938,36.0,95.2831,505.066,956.0110000000001,84.9609,406.494,196.24,-0.500138,44.232
82,58.5938,40.0,95.6482,504.76099999999997,956.0110000000001,84.9609,406.494,181.738,-2.18644,43.1987
83,58.5938,44.0,95.7621,505.066,953.204,84.9609,406.494,188.232,-1.7199900000000001,43.3986
84,58.5938,48.0,95.4087,504.944,953.204,84.9609,406.555,176.245,-1.4862799999999998,43.3142
85,58.3984,52.0,96.1036,505.066,952.5210000000001,84.7778,406.494,180.24900000000002,-1.25169,43.1038
86,58.3984,55.0,95.87200000000001,505.005,952.5210000000001,84.9609,406.43300000000005,195.313,-2.39681,43.1168
87,58.5938,59.0,95.5775,504.88300000000004,949.742,85.022,406.494,193.213,-1.9407599999999998,38.7363
88,58.5938,62.0,95.5775,505.12699999999995,949.742,84.7778,406.616,172.51,-2.9642,44.2729
89,46.875,67.0,95.81700000000001,479.91900000000004,951.168,153.564,384.155,166.50400000000002,-2.68872,37.0537
90,58.5938,70.0,93.7952,837.4630000000001,951.168,70.3125,661.682,183.667,-2.2121,36.811
91,58.7891,71.0,93.5008,840.393,950.497,69.7632,698.12,176.953,-2.00268,36.812
92,58.5938,72.0,95.1339,840.2710000000001,950.497,70.0684,697.937,184.937,-1.9580799999999998,36.8707
93,58.5938,73.0,95.0986,840.2710000000001,949.83,69.6411,698.059,180.44400000000002,-2.509,36.7925
94,58.5938,73.0,95.0122,840.21,949.83,69.8853,698.242,188.11,-1.76683,36.8483
95,58.7891,74.0,95.0358,840.2710000000001,949.1669999999999,69.8242,698.73,190.088,-2.33411,36.8154
96,58.5938,75.0,96.2017,840.332,949.1669999999999,69.9463,698.975,187.13400000000001,-2.91202,36.7913
97,58.3984,76.0,94.7217,840.21,950.579,69.9463,698.3639999999999,187.842,-2.13705,36.8195
98,58.7891,77.0,95.2792,840.2710000000001,950.579,70.0073,698.3639999999999,192.578,-2.98619,36.7162
99,58.5938,77.0,95.6089,840.1489999999999,949.918,69.8853,698.242,187.40200000000002,-2.90225,36.6541
100,58.5938,78.0,95.1104,840.21,949.918,69.9463,698.3639999999999,180.64,-5.05358,43.9396
101,58.5938,75.0,94.4155,840.1489999999999,951.319,70.0073,699.28,190.942,-2.99139,44.0378
102,58.5938,72.0,95.2635,840.2710000000001,951.319,69.9463,698.6080000000001,191.26,-3.26166,44.0326
103,58.5938,69.0,93.7442,840.393,950.659,69.8242,698.7919999999999,184.424,-3.46844,43.9874
104,58.5938,66.0,93.3477,840.393,950.659,69.7632,698.975,180.933,-3.15788,44.1508
105,58.9844,63.0,94.1368,840.332,950.003,69.9463,698.669,189.96599999999998,-3.23903,44.1021
106,58.7891,60.0,93.9994,840.332,950.003,69.8242,699.2189999999999,191.84599999999998,-2.91142,44.1139
107,58.5938,57.0,94.9769,840.1489999999999,949.3510000000001,70.0073,698.73,177.734,-2.64115,44.0731
108,58.5938,54.0,94.494,840.2710000000001,949.3510000000001,69.9463,697.7539999999999,180.298,-2.67912,44.0482
109,58.5938,52.0,96.1036,694.702,948.702,94.8486,581.665,187.40200000000002,-3.06774,44.0016
110,58.7891,50.0,96.3706,655.151,948.702,104.919,614.99,191.99200000000002,-4.1474,43.9779
111,58.7891,49.0,96.7945,505.249,948.057,84.8999,406.616,192.407,-3.0171200000000002,43.968
112,58.5938,48.0,96.2646,504.88300000000004,948.057,84.9609,406.494,173.56,0.0,0.0
113,58.5938,40.0,95.1104,505.005,947.416,84.8999,406.555,168.408,0.0,0.0
114,58.7891,34.0,93.4223,505.18800000000005,947.416,84.8999,406.555,183.71599999999998,-1.93487,43.9516
115,58.5938,36.0,94.23100000000001,505.12699999999995,946.778,85.083,406.37199999999996,180.81099999999998,-2.27168,44.0197
116,58.3984,39.0,94.7256,505.371,946.778,85.022,406.616,184.644,-3.18466,43.9898
117,58.3984,41.0,95.7581,505.31,944.1310000000001,84.7778,406.73800000000006,193.09099999999998,-2.82534,44.0227
118,58.3984,44.0,95.9269,504.88300000000004,944.1310000000001,84.7778,406.43300000000005,175.928,-2.73225,44.0421
119,58.3984,46.0,95.7149,504.944,943.5060000000001,84.8999,406.555,195.06799999999998,-2.21977,44.1748
120,58.3984,49.0,95.9662,504.82199999999995,943.5060000000001,84.9609,406.37199999999996,191.187,-1.6702,43.9459
121,58.3984,45.0,94.7845,505.005,942.885,84.8999,406.616,180.054,0.0,0.0
