Unnamed: 0,Vendor_Batch,Yield,SMARTCAL,DRIFTELITE,OFFSET,RESISTANCE,PROD_VAL,SMARTCAL_Yield,DRIFTELITE_Yield,OFFSET_Yield,RESISTANCE_Yield
0,523288-09,0.4662,241,221,197,195,193,0.9161465507924685,0.9516603972877509,0.9293983749761097,0.9824854502109189
0,523288-06,0.3281,241,222,204,197,193,0.9298546715836286,0.954337899543379,0.9428571428571428,0.9812024521226301
7,523860-10,0.7822,180,222,211,194,141,0.899058373249139,0.9243878990534042,0.9121956147373947,0.9879824570033313
7,523860-10,0.791,175,177,170,150,140,0.8370044052863436,0.9105783169217492,0.7857142857142857,1.0
2,523288-11,0.3462,184,177,162,137,141,0.9141916994656286,0.8685601102650288,0.9428571428571428,1.0
2,523288-11,0.3174,172,139,121,151,136,0.9018523044431093,0.8717636554235214,0.8873113387398109,1.0
0,523860-04,0.8257,140,125,125,99,87,0.8370044052863436,0.856,0.7903937887212538,0.9858554645049157
5,523860-01,0.8546,241,146,211,197,193,0.8812065757584685,0.954337899543379,0.9373843189740143,0.9749299062176074
7,523860-10,0.7505,165,210,165,133,140,0.8370044052863436,0.9080296553426184,0.803935908249405,1.0
0,523288-06,0.3174,241,221,207,197,193,0.917443220465557,0.954337899543379,0.9428571428571428,0.9808446485108137
3,523288-09,0.408,230,222,211,179,193,0.9187101505806441,0.8835740342072254,0.9243670680853237,0.9910651350217066
4,523860-04,0.8661,140,131,110,89,98,0.8769420795178723,0.9001020297459391,0.8004169626465836,0.980811724137262
2,523860-01,0.876,241,216,211,197,190,0.8788349212320348,0.954337899543379,0.9318990544043586,0.9756383585978374
0,523288-08,0.3174,179,125,116,133,133,0.8938092243707818,0.888015337321405,0.7898914519937983,0.9877919825355207
6,523288-11,0.3665,166,140,135,132,131,0.8982010345998915,0.8593303431752846,0.9428571428571428,0.9830440135892383
6,523288-11,0.3174,241,161,112,138,136,0.9056381193040164,0.8810853308093113,0.9328108944458817,0.9992484549839864
7,523860-10,0.7885,219,169,173,130,141,0.8370044052863436,0.8916387703635629,0.7857142857142857,1.0
0,523288-06,0.4354,241,222,211,197,193,0.9069252064232813,0.954337899543379,0.9237387372493938,0.981158953754601
0,523288-08,0.3523,178,152,146,142,134,0.9008700455562086,0.9193032649170462,0.9265624687516648,0.9873521601753357
2,523288-09,0.3787,241,222,195,188,188,0.9235520217658975,0.9052007124523276,0.9187004160875982,0.9896804869991259
4,523860-04,0.7778,218,125,112,188,99,0.8697265627423855,0.9435562636102209,0.824379111019231,0.9766897035135829
7,523860-10,0.8181,140,179,182,149,148,0.8370044052863436,0.8973738184322094,0.7895656879306527,1.0
0,523288-06,0.3617,241,157,161,150,147,0.9367088607594936,0.9087608776533721,0.8039981360450189,0.9919849980156085
4,523288-09,0.876,149,148,205,135,140,0.8928853964949514,0.8615623543575872,0.8643139205144988,0.987412176225892
1,523860-01,0.8489,189,210,207,196,193,0.899539382943041,0.9515160130361036,0.9299061897163818,0.9746260779449034
1,523860-01,0.848,233,222,207,195,193,0.9090501443752104,0.954337899543379,0.9389763998450763,0.9761102294448595
0,523288-09,0.4286,225,222,145,122,186,0.9218755963824352,0.9046849316528217,0.9326416118673151,0.9849809691773973
3,523860-01,0.7873,241,126,211,193,193,0.8865323850674147,0.954337899543379,0.9241186724284196,0.978552846279185
1,523288-10,0.3174,200,163,149,134,139,0.8794824397883498,0.9127845663826116,0.8988192564790434,0.991480714404207
1,523288-08,0.3174,172,150,142,183,189,0.8922718177463949,0.9133896616461293,0.9230753944670641,0.9874500746356849
7,523288-11,0.3174,238,162,170,136,139,0.9109724111704522,0.8991075578241917,0.9428571428571428,0.9859667248083809
0,523288-09,0.3786,240,218,182,187,193,0.9311994114652902,0.8776080953648717,0.9386441799365683,0.9910156627043801
2,523860-04,0.7666,147,125,107,92,119,0.8749844723014613,0.856,0.815862359684354,0.9768481184117788
0,523288-06,0.3282,241,218,211,197,193,0.90444336021808,0.954337899543379,0.9151626945806998,0.9825245706656359
1,523288-08,0.7595,241,174,144,127,143,0.9023559585727198,0.9029499509248964,0.9126102303895706,0.9862897287760781
1,523288-08,0.3447,148,128,152,137,143,0.8730345474593066,0.8903160714790642,0.831814003394891,1.0
