Vendor_Batch,vendor_yield,offset,driftelite,prod_val,smartcal,resistance_yield
523288-09,-0.31629632870390045,197,221,193,241,0.749620480903785
523288-06,0.4407448488687892,204,222,193,241,0.8536808613008835
523860-10,-0.9615491903940937,211,222,141,180,-1.0511845480739093
523860-10,-0.8908324137171635,170,177,140,175,-0.6442737607856612
523288-11,-0.463647747467887,162,177,141,184,-0.462525150466386
523288-11,0.5083578597592697,121,139,136,172,0.8122592775406374
523860-04,-1.652472248399343,125,125,87,140,-1.4305321444974894
523860-01,-0.9887939864008015,211,146,193,241,-1.158449945203452
523860-10,-0.3711193034767234,165,210,140,165,-1.1870806263787956
523288-06,-1.5057526332000128,207,221,193,241,-1.6829130060056947
523288-09,-1.0807381134353793,211,222,193,230,-0.9753474719134945
523860-04,-1.0935019441454985,110,131,98,140,-1.858122086276397
523860-01,1.0707648031877928,211,216,190,241,0.9923345717933516
523288-08,-0.48473689978568946,116,125,133,179,0.22607060823924863
523288-11,-0.26307826789859895,135,140,131,166,-0.6026372007858753
523288-11,1.9620986722376015,112,161,136,241,2.257728814577018
523860-10,2.021035967823189,173,169,141,219,2.0575805921396637
523288-06,0.888749214601366,211,222,193,241,-0.02210191300001907
523288-08,1.3602093377153783,146,152,134,178,1.6091400461987626
523288-09,0.05484142375068183,195,222,188,241,-0.16768321007143763
523860-04,1.0328607742901328,112,125,99,218,1.0713734389375422
523860-10,0.8020549277628115,182,179,148,140,0.1545443557687325
523288-06,-1.2387502852256815,161,157,147,241,-2.452767259531181
523288-09,-0.4034072428489641,205,148,140,149,-0.08452713856150046
523860-01,-0.4070492822252119,207,210,193,189,-1.1077531628503727
523860-01,0.7368273705397053,207,222,193,233,0.5711765846181641
523288-09,-0.4087440962024148,145,222,186,225,-0.40275559660337706
523860-01,-0.7838079827940309,211,126,193,241,-0.8159742662918741
523288-10,0.5336770238926127,149,163,139,200,0.8835057872300282
523288-08,-0.8213433024820519,142,150,189,172,-0.21670806698967482
