CO_BATCH_NUMBER,Batch_final_yield,Yield_O_OMNI_FIRST_DISTAL,Yield_O_OMNI_FILAR_WRAPPING,Yield_O_OMNI_PAM_APPLICATION,Yield_O_OMNI_PAM_INSPECTION,Yield_O_OMNI_MECHANICAL_CON,Yield_O_OMNI_ELECTRICAL_CON,Yield_O_OMNI_INS_GAP_FILLING,Yield_O_OMNI_DISPENSER_COIL,Yield_O_OMNI_SMARTCALELITE_TEST_FG,Yield_O_OMNI_DRIFTELITE_TEST_FG,Yield_O_OMNI_OFFSET_TEST,Yield_O_OMNI_MASKING,Yield_O_OMNI_HYDROPHILIC_COATING,Yield_O_OMNI_UNMASKING,Yield_O_OMNI_FINAL_INSP,Yield_O_OMNI_TRAYPREP_ FINAL_TEST,Yield_O_UNILABEL_PRINTING,Yield_O_POUCHING,Yield_O_SECOND_VERIFICATION_PACKAGING
0000025868,0.5452117200659683,0.9282051282051282,0.9779005524861878,1.0,0.96045197740113,0.9764705882352941,0.9578313253012049,1.0,0.99375,0.89937106918239,0.9440559440559441,0.9703703703703703,1.0,0.9703703703703703,1.0,0.9465648854961832,0.92,0.991304347826087,0.9834710743801653,0.991304347826087
0000028446,0.5335887987285987,0.9958801498127341,0.9793310785419015,0.9950115118956255,0.9533538936006168,0.9907145740815503,0.9431356620633631,0.9922480620155039,0.9939393939393939,0.9152854511970534,0.9447236180904522,0.9808510638297873,0.9969650986342944,0.9994926433282597,0.9863979848866499,0.9271232876712329,0.9018912529550828,0.9723444374607165,0.9844827586206897,0.9379699248120301
0000028447,0.5702314729116236,0.9954571266325951,0.9667783361250698,0.9882487818859272,0.9736155407364453,0.9893016344725112,0.9564825930372148,0.9909318323952471,0.9946456692913386,0.9275317435738619,0.9533855052739026,0.989650249821556,0.997115037865128,0.9938892882818117,0.9956600361663652,0.9229930984380675,0.9507874015748031,0.9826122118883946,0.9805068226120858,0.9043611323641928
0000028448,0.5663554226770504,1.0,0.9807261317794711,0.9882246376811594,0.961961503208066,0.9909480705097665,0.9529072561268621,0.986,0.9809428284854563,0.9176829268292683,0.9311475409836065,0.9865023474178404,0.9720902612826603,0.9963459196102314,0.9883863080684596,0.9386996904024768,0.963744232036915,0.9812080536912752,0.984443061605476,0.9432197728790915
0000039214,0.5458141572609876,0.9927404718693285,0.9799270072992701,0.9906890130353817,0.9652255639097744,0.9892996108949417,0.9242871189773845,1.0,0.9873551106427819,0.8912579957356077,0.9138755980861244,0.981675392670157,0.9693333333333334,1.0,0.9876203576341128,0.9512534818941504,0.9663250366032211,0.9833564493758669,0.9722991689750693,0.96602658788774
0000039215,0.5298921629378539,1.0,0.9924242424242424,1.0,0.9847328244274809,0.9689922480620154,0.904,0.9824561403508771,1.0,0.9464285714285714,0.9811320754716981,0.9903846153846154,0.883495145631068,1.0,0.9230769230769231,0.9642857142857143,0.9259259259259259,0.9887640449438202,0.9772727272727273,0.9736842105263158
0000039217,0.5700453403255763,1.0,0.9646017699115044,1.0,0.9724770642201835,1.0,0.839622641509434,1.0,0.9888888888888889,0.9213483146067416,0.926829268292683,1.0,0.9342105263157895,1.0,0.9859154929577465,0.9857142857142858,0.9710144927536232,0.9861111111111112,0.9859154929577465,1.0
0000039219,0.3674686816464505,0.9906542056074766,0.9811320754716981,1.0,0.9711538461538461,0.9900990099009901,0.69,0.9855072463768116,0.9852941176470589,0.8955223880597015,0.8166666666666667,0.9795918367346939,0.9791666666666666,1.0,1.0,0.9574468085106383,0.9333333333333333,0.9574468085106383,0.9777777777777777,1.0
0000039225,0.44291363694348773,1.0,0.9904761904761905,1.0,0.9903846153846154,0.9902912621359223,0.9607843137254902,0.9797979797979798,1.0,0.8350515463917526,0.8765432098765432,0.9577464788732394,1.0,1.0,1.0,0.9411764705882353,0.96875,0.8461538461538461,1.0,0.8955223880597015
0000039227,0.5004434767213025,1.0,0.9541984732824428,0.984,0.959349593495935,0.9915254237288136,0.9322033898305084,1.0,1.0,0.8181818181818182,0.8777777777777778,0.9873417721518988,0.9487179487179487,1.0,0.972972972972973,1.0,0.9305555555555556,0.9868421052631579,1.0,1.0
0000039228,0.5489610318561157,0.9916387959866221,0.9633943427620633,0.9913644214162349,0.9704347826086956,0.992831541218638,0.9306049822064056,1.0,0.9980879541108987,0.8754789272030651,0.9299781181619255,0.9764705882352941,0.9590361445783132,1.0,0.9874371859296482,0.9516539440203562,0.9652406417112299,0.9673366834170855,0.9844155844155844,0.9835164835164835
0000049005,0.4788939413416868,1.0,1.0,0.9924242424242424,0.9465648854961832,0.9838709677419355,0.9512195121951219,1.0,0.9830508474576272,0.7586206896551724,0.9090909090909091,0.95,1.0,1.0,0.974025974025974,0.96,0.9305555555555556,0.9864864864864865,1.0,0.9852941176470589
0000049009,0.5798993710691824,1.0,0.9245283018867925,0.9897959183673469,0.9484536082474226,1.0,0.9782608695652174,0.9888888888888889,0.9888888888888889,0.8876404494382022,0.9493670886075949,0.9866666666666667,1.0,1.0,1.0,0.918918918918919,0.9264705882352942,0.9866666666666667,1.0,1.0
0000049010,0.5990576375191758,1.0,0.9743589743589743,0.9912280701754386,0.9734513274336283,0.9727272727272728,0.9626168224299065,1.0,1.0,0.8446601941747572,0.9310344827586207,0.9753086419753086,1.0,1.0,1.0,0.9240506329113924,0.9726027397260274,0.9871794871794872,1.0,1.0
0000049011,0.57717184527584,1.0,0.976,1.0,0.9590163934426229,0.9914529914529915,0.9482758620689655,1.0,1.0,0.8545454545454545,0.925531914893617,0.9770114942528736,0.9882352941176471,1.0,0.9880952380952381,0.927710843373494,0.974025974025974,0.9879518072289156,1.0,0.9736842105263158
0000049012,0.5341901251980066,0.9958932238193019,0.9917695473251029,0.9937759336099585,0.964509394572025,0.9891774891774892,0.9715536105032823,0.9977528089887641,0.9977477477477478,0.8533333333333334,0.890625,0.9853801169590644,0.9851632047477745,1.0,0.9909638554216867,0.9604863221884499,0.9588607594936709,0.9694444444444444,0.9720670391061452,0.9294871794871795
0000049013,0.5774632966299632,1.0,0.9743589743589743,1.0,0.9802631578947368,1.0,0.959731543624161,0.94,0.9722222222222222,0.9142857142857143,0.9453125,0.9917355371900827,0.975,1.0,1.0,0.9316239316239316,0.9541284403669725,0.972972972972973,1.0,0.9537037037037037
0000049014,0.6201883066990634,1.0,0.9635036496350365,1.0,1.0,0.9924242424242424,0.9694656488549618,0.9473684210526315,0.984251968503937,0.912,0.956140350877193,0.9464285714285714,0.9622641509433962,1.0,1.0,0.9705882352941176,0.9595959595959596,1.0,0.990909090909091,0.9789473684210527
0000049015,0.5823466403748496,0.992,0.9224806201550387,0.9915966386554622,0.9745762711864406,1.0,0.9652173913043478,1.0,0.9734513274336283,0.9272727272727272,0.9215686274509803,0.9361702127659575,0.9886363636363636,1.0,1.0,0.9195402298850575,1.0,0.9883720930232558,1.0,0.975
0000049016,0.5605035346745314,0.9726027397260274,0.9724137931034482,0.9858156028368794,0.9496402877697842,0.9696969696969697,0.9765625,0.976,1.0,0.8934426229508197,0.9174311926605505,0.98,0.9387755102040817,1.0,1.0,0.967391304347826,0.9887640449438202,0.9711538461538461,1.0,0.9777777777777777
0000049018,0.5780878621497922,0.994413407821229,0.994413407821229,1.0,0.9831460674157303,0.9885714285714285,0.9540229885057471,1.0,1.0,0.8674698795180723,0.8611111111111112,0.9838709677419355,1.0,1.0,1.0,0.9508196721311475,0.9655172413793104,0.9765625,1.0,0.9568965517241379
0000049025,0.4927233819878198,1.0,0.9923076923076923,1.0,0.9534883720930233,0.991869918699187,0.9426229508196722,0.991304347826087,1.0,0.8333333333333334,0.968421052631579,0.9782608695652174,0.9777777777777777,0.9361702127659575,1.0,0.8863636363636364,0.9358974358974359,0.9880952380952381,0.9880952380952381,0.96
0000049032,0.5208876156461428,0.9779411764705882,0.9849624060150376,1.0,0.9694656488549618,0.9921259842519685,0.9606299212598425,1.0,1.0,0.8934426229508197,0.9541284403669725,0.9903846153846154,0.9902912621359223,1.0,0.9901960784313726,0.8415841584158416,0.9411764705882353,0.9789473684210527,0.9578947368421052,0.9518072289156626
0000053056,0.5387321026676348,1.0,0.9874213836477987,1.0,0.9808917197452229,1.0,0.9545454545454546,0.9798657718120806,1.0,0.8767123287671232,0.8062015503875969,0.9903846153846154,0.9805825242718447,1.0,0.9801980198019802,0.9696969696969697,0.9791666666666666,0.9902912621359223,1.0,0.94
0000055491,0.5831843073599634,1.0,0.9939759036144579,0.9428571428571428,0.9757575757575757,1.0,0.968944099378882,0.9935897435897436,0.9935897435897436,0.8516129032258064,0.8863636363636364,1.0,1.0,1.0,1.0,0.9658119658119658,0.9734513274336283,0.991304347826087,0.9824561403508771,0.9646017699115044
