transaction_id,date,amount,description,transactionType,chargeCode,transactionID,balanceDue
0,"""2023-05-01T000000Z""",1805.0,"""may rent""","""Payment""",null,"""591312316""",0.0
1,"""2023-05-01T000000Z""",75.0,"""Garage Rental - Posted from 05/01/2023 to 05/31/2023 - Rentable Item  ( Garage - Garage Units ( AA )""","""Charge""","""3""","""591300255""",1805.0
2,"""2023-05-01T000000Z""",14.0,"""Resident Insurance - Posted from 05/01/2023 to 05/31/2023""","""Charge""","""3""","""591300250""",1730.0
3,"""2023-05-01T000000Z""",70.0,"""RUBS - Posted from 05/01/2023 to 05/31/2023""","""Charge""","""3""","""591300169""",1716.0
4,"""2023-05-01T000000Z""",1646.0,"""Rent - Posted from 05/01/2023 to 05/31/2023""","""Charge""","""2""","""591300131""",1646.0
5,"""2023-04-01T000000Z""",75.0,"""Garage Rental - Posted from 04/01/2023 to 04/30/2023 - Rentable Item  ( Garage - Garage Units ( AA )""","""Charge""","""3""","""588412549""",0.0
6,"""2023-04-01T000000Z""",70.0,"""RUBS - Posted from 04/01/2023 to 04/30/2023""","""Charge""","""3""","""588412484""",-75.0
7,"""2023-04-01T000000Z""",1646.0,"""Rent - Posted from 04/01/2023 to 04/30/2023""","""Charge""","""2""","""588412305""",-145.0
8,"""2023-03-31T000000Z""",1791.0,"""April rent""","""Payment""",null,"""588224846""",-1791.0
9,"""2023-03-03T000000Z""",1791.0,"""March rent""","""Payment""",null,"""584318217""",0.0
10,"""2023-03-01T000000Z""",70.0,"""RUBS - Posted from 03/01/2023 to 03/31/2023""","""Charge""","""3""","""583405541""",1791.0
11,"""2023-03-01T000000Z""",75.0,"""Garage Rental - Posted from 03/01/2023 to 03/31/2023 - Rentable Item  ( Garage - Garage Units ( AA )""","""Charge""","""3""","""583405463""",1721.0
12,"""2023-03-01T000000Z""",1646.0,"""Rent - Posted from 03/01/2023 to 03/31/2023""","""Charge""","""2""","""583405325""",1646.0
13,"""2023-02-03T000000Z""",1791.0,"""February rent""","""Payment""",null,"""579065522""",0.0
14,"""2023-02-01T000000Z""",70.0,"""RUBS - Posted from 02/01/2023 to 02/28/2023""","""Charge""","""3""","""578156418""",1791.0
15,"""2023-02-01T000000Z""",1646.0,"""Rent - Posted from 02/01/2023 to 02/28/2023""","""Charge""","""2""","""578156225""",1721.0
16,"""2023-02-01T000000Z""",75.0,"""Garage Rental - Posted from 02/01/2023 to 02/28/2023 - Rentable Item  ( Garage - Garage Units ( AA )""","""Charge""","""3""","""578156187""",75.0
17,"""2023-01-01T000000Z""",75.0,"""Garage Rental - Posted from 01/01/2023 to 01/31/2023 - Rentable Item  ( Garage - Garage Units ( AA )""","""Charge""","""3""","""572085404""",0.0
18,"""2023-01-01T000000Z""",1646.0,"""Rent - Posted from 01/01/2023 to 01/31/2023""","""Charge""","""2""","""572085176""",-75.0
19,"""2023-01-01T000000Z""",70.0,"""RUBS - Posted from 01/01/2023 to 01/31/2023""","""Charge""","""3""","""572085175""",-1721.0
20,"""2022-12-30T000000Z""",1791.0,"""January Rent""","""Payment""",null,"""571665715""",-1791.0
21,"""2022-12-01T000000Z""",75.0,"""Garage Rental - Posted from 12/01/2022 to 12/31/2022 - Rentable Item  ( Garage - Garage Units ( AA )""","""Charge""","""3""","""544872334""",0.0
22,"""2022-12-01T000000Z""",70.0,"""RUBS - Posted from 12/01/2022 to 12/31/2022""","""Charge""","""3""","""544872228""",-75.0
